Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanixuish
xuiOptionsControlsVROptions,UI,XUi Controls Options,x,,VROptions,,VROptionen,,,,,,VROpcje,,Настройки VR,,,,
xuiOptionsControlsSeatedModeEnabled,UI,XUi Controls Options,x,,Seated Mode Enabled,,Sitzmodus aktiviert,,,,,,Tryb siedzący,,Режим сидения включен,,,,
xuiOptionsControlsSeatedModeEnabledTooltip,UI,XUi Controls Options,x,,Playing from seated but scaled to full height,,"Im Sitzen spielen, aber auf volle Größe skaliert",,,,,,Gra w trybie siedzącym ale przeskalowanym do pełnego wzrostu,,"Игра в режиме сидения, но с масштабированием до полного роста",,,,
xuiOptionsControlsWorkoutModeEnabled,UI,XUi Controls Options,x,,Workout Mode Enabled,,Workout-Modus aktiviert,,,,,,Tryb fitness,,Режим тренировки включен,,,,
xuiOptionsControlsWorkoutModeEnabledTooltip,UI,XUi Controls Options,x,,Get fit with 7DVR!  (Well...maybe.)  Hit harder (and use more stamina) with faster swings!  Please don't punch your TV or housemates.,,Werde fit mit 7DVR! (Naja... vielleicht.) Schlage härter (und verbrauche mehr Ausdauer) mit schnelleren Schwüngen! Bitte schlag nicht deinen Fernseher oder Mitbewohner.,,,,,,Zadbaj o kondycję z 7DVR! (Tak jakby...) Uderzaj mocniej (zużywając więcej wytrzymałości) szybszymi machnięciami! Uważaj żeby nie trafić w telewizor lub współlokatorów.,,"Станьте в форму с 7DVR! (Ну... может быть.) Ударяйте сильнее (и используйте больше выносливости) с более быстрыми взмахами! Пожалуйста, не бейте ваш телевизор или домочадцев.",,,,
xuiOptionsControlsPhysicalMeleeEnabled,UI,XUi Controls Options,x,,Physical Melee Enabled,,Physischer Nahkampf aktiviert,,,,,,Fizyczna Walka Wręcz,,Физический рукопашный бой включен,,,,
xuiOptionsControlsPhysicalMeleeEnabledTooltip,UI,XUi Controls Options,x,,Hit stuff for real or only with trigger,,Schlage wirklich zu oder nur mit dem Abzug,,,,,,Uderzaj machając ręką lub tylko przyciskiem spustu,,Ударьте по-настоящему или только с помощью курка,,,,
xuiOptionsControlsTurnMode,UI,XUi Controls Options,x,,Turn Mode,,Drehmodus,,,,,,Tryb obracania się,,Режим поворота,,,,
xuiOptionsControlsTurnModeTooltip,UI,XUi Controls Options,x,,Snap turn or Barf turn,,Schnelldrehen oder Übelkeitsdrehen,,,,,,Snap Turn lub Płynny Obrót,,Резкий поворот или поворот с тошнотой,,,,
xuiOptionsControlsSnapTurnAngle,UI,XUi Controls Options,x,,SnapTurn Angle,,Schnelldrehwinkel,,,,,,Kąt Obrotu Snap Turn,,Угол резкого поворота,,,,
xuiOptionsControlsSnapTurnAngleTooltip,UI,XUi Controls Options,x,,Degrees to snap turn,,Grad zum Schnelldrehen,,,,,,Kąt obrotu Snap Turn w stopniach,,Градусы для резкого поворота,,,,
xuiOptionsControlsSmoothTurnSpeed,UI,XUi Controls Options,x,,SmoothTurn Speed,,Geschwindigkeit des sanften Drehens,,,,,,Szybkość Płynnego Obrotu,,Скорость плавного поворота,,,,
xuiOptionsControlsSmoothTurnSpeedTooltip,UI,XUi Controls Options,x,,Degrees per second in barf turn mode,,Grad pro Sekunde im Übelkeitsdrehmodus,,,,,,Stopnie na sekundę w Płynnym Obrocie,,Градусы в секунду в режиме поворота с тошнотой,,,,
xuiOptionsControlsMoveDirection,UI,XUi Controls Options,x,,Movement Direction,,Bewegungsrichtung,,,,,,Kierunek Poruszania,,Направление движения,,,,
xuiOptionsControlsMoveDirectionTooltip,UI,XUi Controls Options,x,,Move forward based off what,,Vorwärts bewegen basierend auf was,,,,,,Poruszanie się w kierunku głowy lub kontrolera,,Двигаться вперед на основе чего,,,,
xuiOptionsControlsToggleRun,UI,XUi Controls Options,x,,ToggleRun,,UmschaltenLaufen,,,,,,Przełączanie Biegu,,Переключение бега,,,,
xuiOptionsControlsToggleRunTooltip,UI,XUi Controls Options,x,,'Off' = Hold button to run.  'Run Until Stop' = Press button to run until you stop.  'Always Run' = Press button to toggle run on/off until the button is pressed again.,,"'Aus' = Halte die Taste gedrückt, um zu laufen. 'Laufen bis Stopp' = Drücke die Taste, um zu laufen, bis du stoppst. 'Immer Laufen' = Drücke die Taste, um das Laufen ein-/auszuschalten, bis die Taste erneut gedrückt wird.",,,,,,'Off' = Trzymaj przycisk żeby biec.  'Run Until Stop' = Naciśnij przycisk żeby biec aż się zatrzymasz.  'Always Run' = Naciśnij przycisk żeby wł/wył bieg do kolejnego naciśnięcia przycisku.,,"'Выкл' = Держите кнопку для бега. 'Бег до остановки' = Нажмите кнопку для бега, пока не остановитесь. 'Всегда бег' = Нажмите кнопку для переключения бега вкл/выкл, пока кнопка не будет нажата снова.",,,,
xuiOptionsControlsMenuActionHotkeysMode,UI,XUi Controls Options,x,,Advanced Menu Action Hotkeys,,Erweiterte Menüaktionstastenkombinationen,,,,,,Klawisze skrótów w Menu,,Горячие клавиши действий в расширенном меню,,,,
xuiOptionsControlsMenuActionHotkeysModeTooltip,UI,XUi Controls Options,x,,How to utilize special A/S/D/W hotkey controls in menus (to quickly do things like use items/scrap/sell/etc.),,Wie man spezielle A/S/D/W-Tastenkombinationen in Menüs nutzt (um schnell Dinge wie Gegenstände verwenden/verschrotten/verkaufen usw. zu tun).,,,,,,Sposób używania skrótów A/S/D/W w menu (do szybkiego używania/scrapowania/sprzedawania/naprawiania/itd.),,Как использовать специальные горячие клавиши A/S/D/W в меню (чтобы быстро делать вещи вроде использования предметов/утилизации/продажи и т.д.),,,,
xuiOptionsControlsGyroSafetyLatch,UI,XUi Controls Options,x,,GyroSafetyLatch,,GyroSicherheitsverriegelung,,,,,,Zabezpieczenie wiatrakowca,,Защелка безопасности гироскопа,,,,
xuiOptionsControlsGyroSafetyLatchTooltip,UI,XUi Controls Options,x,,Child protection locks for the gyrocopter,,Kindersicherungen für den Gyrokopter,,,,,,Ochrona przed przypadkowym wyjściem z gyrocoptera w trakcie lotu,,Замки защиты детей для гирокоптера,,,,
xuiOptionsControlsVRAmbientOcclusion,UI,XUi Controls Options,x,,VR Ambient Occlusion,,VR-Umgebungsverdeckung,,,,,,Okluzja Otoczenia VR,,Окклюзия окружающей среды VR,,,,
xuiOptionsControlsVRAmbientOcclusionTooltip,UI,XUi Controls Options,x,,VR Amplifed Ambient Occlusion,,VR-verstärkte Umgebungsverdeckung,,,,,,Wzmocnione Ambient Occlusion w VR,,Усиленная окклюзия окружающей среды VR,,,,
xuiOptionsControlsVR_DEBUG_ON,UI,XUi Controls Options,x,,VR_DEBUG_ON,,VR_DEBUG_EIN,,,,,,VR_DEBUG_ON,,VR_DEBUG_ВКЛ,,,,
xuiOptionsControlsVR_DEBUG_ONTooltip,UI,XUi Controls Options,x,,Shows glowing hitboxes and enables debugging keys,,Zeigt leuchtende Trefferboxen und aktiviert Debugging-Tasten,,,,,,Pokazuje świecące hitboxy i włącza przyciski debugowania,,Показывает светящиеся хитбоксы и включает отладочные клавиши,,,,
xuiOptionsControlsHeadVisible,UI,XUi Controls Options,x,,HeadVisible,,KopfSichtbar,,,,,,Widoczność głowy,,Голова Видима,,,,
xuiOptionsControlsHeadVisibleTooltip,UI,XUi Controls Options,x,,See your headwear/armor and shadow,,Sieh deine Kopfbedeckung/Rüstung und Schatten,,,,,,Włącza widoczność nakrycia głowy i jej cienia,,Видеть вашу головную убор/броню и тень,,,,
xuiOptionsControlsWeaponPointer,UI,XUi Controls Options,x,,Weapon Pointer,,Waffenzeiger,,,,,,Wskaźnik Broni,,Указатель Оружия,,,,
xuiOptionsControlsWeaponPointerTooltip,UI,XUi Controls Options,x,,Hides pointer when not in Menu,,"Versteckt den Zeiger, wenn nicht im Menü",,,,,,Ukrywa wskaźnik celowania gdy jest się poza oknami menu,,"Скрывает указатель, когда не в меню",,,,
xuiOptionsControlsCursorSize,UI,XUi Controls Options,x,,Cursor Size,,Zeigergröße,,,,,,Rozmiar kursora,,Размер Курсора,,,,
xuiOptionsControlsCursorSizeTooltip,UI,XUi Controls Options,x,,Scale the crosshair cursor,,Skaliere den Fadenkreuzzeiger,,,,,,Skaluje wskaźnik kontrolera VR,,Масштабировать курсор прицела,,,,
xuiOptionsControlsUIMode,UI,XUi Controls Options,x,,UI Mode,,UIModus,,,,,,Tryb Interfejsu,,Режим UI,,,,
xuiOptionsControlsUIModeTooltip,UI,XUi Controls Options,x,,Type of UI to paint on screen,,"Art der Benutzeroberfläche, die auf dem Bildschirm dargestellt wird",,,,,,Tryb Interfejsu Użytkownika wyświetlanego na ekranie np. na nadgarstkach lub na środku ekranu,,Тип UI для отображения на экране,,,,
xuiOptionsControlsLowStmAlert,UI,XUi Controls Options,x,,Low Stamina Effect,,Effekt bei niedriger Ausdauer,,,,,,Efekt niskiej wytrzymałości,,Эффект низкой выносливости,,,,
xuiOptionsControlsLowStmAlertTooltip,UI,XUi Controls Options,x,,Show an on screen status effect when stamina goes below threshold,,"Zeige einen Status-Effekt auf dem Bildschirm an, wenn die Ausdauer unter den Schwellenwert fällt",,,,,,Pokaż na ekranie efekt zmęczenia gdy wytrzymałość spadnie poniżej danego progu,,"Показывать эффект статуса на экране, когда выносливость падает ниже порога",,,,
xuiOptionsControlsLowStmThreshold,UI,XUi Controls Options,x,,Low Stamina Threshold,,Schwellenwert für niedrige Ausdauer,,,,,,Próg niskiej wytrzymałości,,Порог низкой выносливости,,,,
xuiOptionsControlsLowStmThresholdTooltip,UI,XUi Controls Options,x,,Threshold for low stamina effect to kick in,,"Schwellenwert, bei dem der Effekt bei niedriger Ausdauer einsetzt",,,,,,Próg aktywacji na ekranie efektu zmęczenia,,Порог для эффекта низкой выносливости,,,,
xuiOptionsControlsFancyCamera,UI,XUi Controls Options,x,,Fancy Camera,,Fancy Kamera,,,,,,Kamera na bogato,,Фэнси Камера,,,,
xuiOptionsControlsFancyCameraTooltip,UI,XUi Controls Options,x,,Enables almost all the post processing effects,,Aktiviert fast alle Nachbearbeitungseffekte,,,,,,Włącza prawie wszystkie efekty postprocesowe,,Включает почти все эффекты постобработки,,,,
xuiOptionsControlsPhysicalSneak,UI,XUi Controls Options,x,,Physical Sneak,,Physisches Schleichen,,,,,,Fizyczne skradanie,,Физическое Крадение,,,,
xuiOptionsControlsPhysicalSneakTooltip,UI,XUi Controls Options,x,,Start sneaking by actually crouching,,"Beginne zu schleichen, indem du dich tatsächlich duckst",,,,,,Zacznij się skradać kucając w rzeczywistości,,"Начать красться, фактически присев",,,,
xuiOptionsControlsPhysicalSneakThreshold,UI,XUi Controls Options,x,,Physical Sneak Threshold,,Schwellenwert für physisches Schleichen,,,,,,Próg fizycznego skradania,,Порог физического крадения,,,,
xuiOptionsControlsPhysicalSneakThresholdTooltip,UI,XUi Controls Options,x,,Threshold for physical sneak kick in,,"Schwellenwert, bei dem das physische Schleichen einsetzt",,,,,,Jak bardzo trzeba kucnąć żeby zacząć się skradać,,Порог для начала физического крадения,,,,
xuiOptionsControlsLeftHandedMode,UI,XUi Controls Options,x,,Left-Handed Mode,,Modus für Linkshänder,,,,,,Tryb dla leworęcznych,,Режим для левшей,,,,
xuiOptionsControlsLeftHandedModeTooltip,UI,XUi Controls Options,x,,Southpaw Love!!!,,Liebe für Linkshänder!!!,,,,,,Kochamy mańkutów!!!,,Любовь к левшам!!!,,,,
xuiOptionsControlsLeftHandedControlMode,UI,XUi Controls Options,x,,Left-Handed Control Changes,,Änderungen der Steuerung für Linkshänder,,,,,,Zmiana sterowania dla leworęcznych,,Изменения управления для левшей,,,,
xuiOptionsControlsLeftHandedControlModeTooltip,UI,XUi Controls Options,x,,What controls should be modified for Left-Handed Mode? (ASSUMES DEFAULT BINDINGS!),,Welche Steuerungen sollten für den Modus für Linkshänder geändert werden? (GEHT VON STANDARDBELEGUNGEN AUS!),,,,,,Które bindingi powinny być zmienione w trybie dla leworęcznych? (ZAKŁADAMY DOMYŚLNE STEROWANIE),,Какие элементы управления должны быть изменены для режима левшей? (ПРЕДПОЛАГАЕТСЯ СТАНДАРТНЫЕ НАСТРОЙКИ!),,,,
xuiOptionsControlsBrokenItemAlert,UI,XUi Controls Options,x,,Broken Item Alert,,Alarm bei defektem Gegenstand,,,,,,Ostrzeżenie o uszkodzonym przedmiocie,,Предупреждение о сломанном предмете,,,,
xuiOptionsControlsBrokenItemAlertTooltip,UI,XUi Controls Options,x,,Change the look of broken items to make it obvious,,"Ändere das Aussehen von defekten Gegenständen, um es offensichtlich zu machen",,,,,,Zmień wygląd zepsutych przedmiotów żeby było to oczywiste,,"Изменить внешний вид сломанных предметов, чтобы это было очевидно",,,,
xuiOptionsControlsKeyboardXOffset,UI,XUi Controls Options,x,,Keyboard XOffset,,Tastatur XVersatz,,,,,,Offset Klawiatury X,,Смещение клавиатуры по X,,,,
xuiOptionsControlsKeyboardXOffsetTooltip,UI,XUi Controls Options,x,,move the in game keyboard forward or backward,,Bewege die Tastatur im Spiel vorwärts oder rückwärts,,,,,,Przesunięcie wirtualnej klawiatury do przodu lub do tyłu,,Переместить клавиатуру в игре вперед или назад,,,,
xuiOptionsControlsKeyboardYOffset,UI,XUi Controls Options,x,,Keyboard YOffset,,Tastatur YVersatz,,,,,,Offset Klawiatury Y,,Смещение клавиатуры по Y,,,,
xuiOptionsControlsKeyboardYOffsetTooltip,UI,XUi Controls Options,x,,move the in game keyboard up or down,,Bewege die Tastatur im Spiel nach oben oder unten,,,,,,Przesunięcie wirtualnej klawiatury w górę lub w dół,,Переместить клавиатуру в игре вверх или вниз,,,,
xuiOptionsControlsKeyboardZOffset,UI,XUi Controls Options,x,,Keyboard ZOffset,,Tastatur ZVersatz,,,,,,Offset Klawiatury Z,,Смещение клавиатуры по Z,,,,
xuiOptionsControlsKeyboardZOffsetTooltip,UI,XUi Controls Options,x,,move the in game keyboard Left or right,,Bewege die Tastatur im Spiel nach links oder rechts,,,,,,Przesunięcie wirtualnej klawiatury w lewo lub w prawo,,Переместить клавиатуру в игре влево или вправо,,,,
xuiOptionsControlsRemoveVehicleSeatTilt,UI,XUi Controls Options,x,,Remove Vehicle SeatTilt,,Entferne Fahrzeugsitzneigung,,,,,,Usuń pochylenie siedzenia w pojazdach,,Удалить наклон сиденья транспортного средства,,,,
xuiOptionsControlsRemoveVehicleSeatTiltTooltip,UI,XUi Controls Options,x,,Remove forced tilt of the head from some vehicles that recline the player model,,"Entferne die erzwungene Neigung des Kopfes von einigen Fahrzeugen, die das Spielermodell zurücklehnen",,,,,,Usunięcie wymuszonego pochylenia głowy w niektórych pojazdach które przechylają model gracza,,"Удалить принудительный наклон головы от некоторых транспортных средств, которые откидывают модель игрока",,,,
xuiOptionsControlsVehicleComfortCameraLock,UI,XUi Controls Options,x,,Vehicle Comfort - Camera Lock,,Fahrzeugkomfort - Kamerafixierung,,,,,,Komfort w Pojazdach - Blokada Kamery,,Комфорт в транспортном средстве - Фиксация камеры,,,,
xuiOptionsControlsVehicleComfortCameraLockTooltip,UI,XUi Controls Options,x,,Lock camera forward while on vehicles to reduce motion sickness,,"Fixiere die Kamera nach vorne, während du in Fahrzeugen bist, um Reisekrankheit zu reduzieren",,,,,,Blokuje kamerę w pojazdach żeby zapobiegać chorobie lokomocyjnej,,Заблокировать камеру вперед во время нахождения в транспортных средствах для уменьшения укачивания,,,,
xuiOptionsControlsComfortEnableVignette,UI,XUi Controls Options,x,,Comfort - Enable Vignette,,Komfort - Vignette aktivieren,,,,,,Komfort - Włączenie Winiety,,Комфорт - Включить Виньетку,,,,
xuiOptionsControlsComfortEnableVignetteTooltip,UI,XUi Controls Options,x,,Enable vignette to help reduce motion sickness,,"Aktiviere Vignette, um Reisekrankheit zu reduzieren",,,,,,Włącza winietę żeby zredukować chorobę lokomocyjną,,Включить виньетку для уменьшения укачивания,,,,
xuiOptionsControlsComfortVignetteApertureSize,UI,XUi Controls Options,x,,Comfort - Vignette Aperture Size,,Komfort - Vignette Öffnungsgröße,,,,,,Komfort - Rozmiar Otworu Winiety,,Комфорт - Размер Отверстия Виньетки,,,,
xuiOptionsControlsComfortVignetteApertureSizeTooltip,UI,XUi Controls Options,x,,When vignette is enabled how large should the hole inside the vignette be?,,"Wie groß sollte das Loch in der Vignette sein, wenn sie aktiviert ist?",,,,,,Rozmiar obszaru wewnątrz winiety gdy jest włączona,,"Каким должно быть отверстие в виньетке, когда она включена?",,,,
xuiOptionsControlsComfortVignetteFeatheringEffect,UI,XUi Controls Options,x,,Comfort - Vignette Feathering Effect,,Komfort - Vignette Abstufungseffekt,,,,,,Komfort - Efekt Stopniowego Przejścia Winiety,,Комфорт - Эффект Перехода Виньетки,,,,
xuiOptionsControlsComfortVignetteFeatheringEffectTooltip,UI,XUi Controls Options,x,,When vignette is enabled how much of a gradient should be used?,,"Wie stark sollte der Gradient sein, wenn die Vignette aktiviert ist?",,,,,,Jak duży gradient ma zostać użyty przy włączonej winiecie,,"Какой должен быть градиент, когда виньетка включена?",,,,
xuiOptionsControlsDynamicObjectDetailTargetFPS,UI,XUi Controls Options,x,,Dynamic ObjectDetail TargetFPS,,Dynamisches Objektdetail ZielFPS,,,,,,Dynamiczna Jakość Obiektów min klatek,,Динамическое Целевое FPS Детализации Объекта,,,,
xuiOptionsControlsDynamicObjectDetailTargetFPSTooltip,UI,XUi Controls Options,x,,Anything but zero will attempt to raise object quality as high as it can while above target FPS,,"Alles außer Null wird versuchen, die Objektqualität so hoch wie möglich zu treiben, solange die Ziel-FPS überschritten wird",,,,,,Wartości powyżej zera będą podnosić Jakość Obiektów dopóki liczba klatek na sekundę będzie powyżej tej wartości,,"Любое значение, кроме нуля, будет пытаться повысить качество объекта как можно выше, пока FPS выше целевого",,,,
xuiOptionsControlsImprovedHorns,UI,XUi Controls Options,x,,Improved Vehicle Horns,,Verbesserte Fahrzeughupen,,,,,,Ulepszone klaksony pojazdów,,Улучшенные Гудки Транспортного Средства,,,,
xuiOptionsControlsImprovedHornsTooltip,UI,XUi Controls Options,x,,Why would you honk your horn in a zombie game when you look so tastey,,"Warum würdest du in einem Zombie-Spiel hupen, wenn du so lecker aussiehst",,,,,,Czemu miałbyś używać klaksona w grze o zombie gdy wyglądasz tak smacznie,,"Почему бы вам не посигналить в игре про зомби, когда вы выглядите так аппетитно",,,,
xuiOptionsControlsVRMode,UI,XUi Controls Options,x,,Virtual Reality (Requires Restart),,Virtuelle Realität,,,,,,Tryb VR,,Виртуальная Реальность,,,,
xuiOptionsControlsVRModeTooltip,UI,XUi Controls Options,x,,Launch game in VR (Requires Restart),,Spiel in VR starten (Neustart erforderlich),,,,,,Uruchom grę w VR (wymaga restartu),,Запустить игру в VR (Требуется Перезапуск),,,,
xuiOptionsControlsPreventMenuMove,UI,XUi Controls Options,x,,Prevent Menu Movement,,Menübewegung verhindern,,,,,,Zapobiegaj poruszaniu się w menu,,Предотвратить Движение Меню,,,,
xuiOptionsControlsPreventMenuMoveTooltip,UI,XUi Controls Options,x,,Prevent character movement when menus are open,,"Verhindere Charakterbewegung, wenn Menüs geöffnet sind",,,,,,Zapobiegaj poruszaniu się postaci gdy menu jest otwarte,,"Предотвратить движение персонажа, когда меню открыто",,,,
xuiOptionsControlsBodyVisible,UI,XUi Controls Options,x,,Body Visible,,Körper Sichtbar,,,,,,Widoczność ciała,,Тело Видимо,,,,
xuiOptionsControlsBodyVisibleTooltip,UI,XUi Controls Options,x,,Do you want a body or AAA studio quality VR game floating hands,,Möchtest du einen Körper oder schwebende Hände eines AAA-Studiospiels in VR-Qualität,,,,,,Wolisz ciało czy latające ręce w stylu bardzo dopracowanej gry VR od studia AAA,,Хотите ли вы тело или парящие руки качества AAA студии в игре VR,,,,
xuiOptionsControlsCompanionCube,UI,XUi Controls Options,x,,Companion Cube,,Begleiterwürfel,,,,,,Kostka Towarzysząca,,Компаньон Куб,,,,
xuiOptionsControlsCompanionCubeTooltip,UI,XUi Controls Options,x,,The spinning cube has been here since the start. You don't really want to play without it do you?,,"Der sich drehende Würfel ist seit dem Start dabei. Du willst doch nicht wirklich ohne ihn spielen, oder?",,,,,,Obracająca się kostka była tu od początku. Chyba nie chcesz grać bez niej prawda?,,"Вращающийся куб был здесь с самого начала. Вы действительно не хотите играть без него, не так ли?",,,,
xuiOptionsControlsDebugSteamHands,UI,XUi Controls Options,x,,SteamVR Hands,,SteamVR Hände,,,,,,Ręce SteamVR,,SteamVR Руки,,,,
xuiOptionsControlsDebugSteamHandsTooltip,UI,XUi Controls Options,x,,Always show SteamVR hands for debugging,,Zeige immer SteamVR-Hände zum Debuggen,,,,,,Zawsze pokazuj ręce SteamVR do debugowania,,Всегда показывать руки SteamVR для отладки,,,,
btnAdjustRightItem,UI,XUi Controls Options,x,,Adjust Mainhand Item,,Hauptgegenstand anpassen,,,,,,Dostosuj P przedmiot,,Настроить Предмет в Главной Руке,,,,
btnAdjustRightLaser,UI,XUi Controls Options,x,,Adjust Mainhand Pointer,,Hauptzeiger anpassen,,,,,,Dostosuj P wskaźnik,,Настроить Указатель Главной Руки,,,,
btnAdjustRightHand,UI,XUi Controls Options,x,,Adjust Main Hand,,Haupt Hand anpassen,,,,,,Dostosuj P rękę,,Настроить Главную Руку,,,,
btnAdjustLeftItem,UI,XUi Controls Options,x,,Adjust Offhand Item,,Nebengegenstand anpassen,,,,,,Dostosuj L przedmiot,,Настроить Предмет во Второй Руке,,,,
btnAdjustLeftLaser,UI,XUi Controls Options,x,,Adjust Offhand Pointer,,Nebenzeiger anpassen,,,,,,Dostosuj L wskaźnik,,Настроить Указатель Второй Руки,,,,
btnAdjustLeftHand,UI,XUi Controls Options,x,,Adjust Off Hand,,Neben Hand anpassen,,,,,,Dostosuj L rękę,,Настроить Вторую Руку,,,,
btnResetLeftHand,UI,XUi Controls Options,x,,Reset Off Hand,,Neben Hand zurücksetzen,,,,,,Resetuj L rękę,,Сбросить Вторую Руку,,,,
